"417202176","417267711","CA","CAN","CANADA"
"417267712","417288191","US","USA","UNITED STATES"
"417300480","417341439","US","USA","UNITED STATES"
"417366016","417398783","CA","CAN","CANADA"
"417398784","417423359","US","USA","UNITED STATES"
"417431552","417464319","US","USA","UNITED STATES"
"417464320","417529855","CA","CAN","CANADA"
"417529856","417558527","US","USA","UNITED STATES"
"417595392","417619967","US","USA","UNITED STATES"
"417660928","417759231","US","USA","UNITED STATES"
"417775616","417783807","CA","CAN","CANADA"
"417792000","417800191","CA","CAN","CANADA"
"417800192","417804287","BS","BHS","BAHAMAS"
"417824768","417857535","US","USA","UNITED STATES"
"417857536","417923071","AR","ARG","ARGENTINA"
"417923072","417947647","US","USA","UNITED STATES"
"417947648","417955839","CA","CAN","CANADA"
"417955840","417972223","US","USA","UNITED STATES"
"417988608","418062335","US","USA","UNITED STATES"
"418078720","418082815","CA","CAN","CANADA"
"418086912","418103295","CA","CAN","CANADA"
"418119680","418127871","US","USA","UNITED STATES"
"418136064","418275327","US","USA","UNITED STATES"
"418283520","418643967","US","USA","UNITED STATES"
"418643968","418664447","CA","CAN","CANADA"
"418676736","418693119","BS","BHS","BAHAMAS"
"418693120","418705407","CA","CAN","CANADA"
"418709504","418729983","US","USA","UNITED STATES"
"418775040","418824191","US","USA","UNITED STATES"
"418840576","418971647","US","USA","UNITED STATES"
"419430400","436207615","GB","GBR","UNITED KINGDOM"
"436207616","452984831","US","USA","UNITED STATES"
"469762048","520093695","US","USA","UNITED STATES"
"536870912","553648127","GB","GBR","UNITED KINGDOM"
"553648128","603979775","US","USA","UNITED STATES"
"637534208","654311423","US","USA","UNITED STATES"
"671088640","687865855","US","USA","UNITED STATES"
"721420288","738197503","JP","JPN","JAPAN"
"738197504","771751935","US","USA","UNITED STATES"
"788529152","805306367","CA","CAN","CANADA"
"805306368","822083583","US","USA","UNITED STATES"
"855638016","872415231","GB","GBR","UNITED KINGDOM"
"872415232","889192447","US","USA","UNITED STATES"
"889192448","905969663","DE","DEU","GERMANY"
"905969664","956301311","US","USA","UNITED STATES"
"956301312","973078527","FR","FRA","FRANCE"
"1006632960","1023410175","AU","AUS","AUSTRALIA"
"1023410176","1023672319","IN","IND","INDIA"
"1023672320","1023688703","HK","HKG","HONG KONG"
"1023688704","1023692799","CN","CHN","CHINA"
"1023692800","1023705087","AU","AUS","AUSTRALIA"
"1023705088","1023717375","JP","JPN","JAPAN"
"1023717376","1023737855","AU","AUS","AUSTRALIA"
"1023737856","1023770623","ID","IDN","INDONESIA"
"1023770624","1023787007","AU","AUS","AUSTRALIA"
"1023787008","1023791103","ID","IDN","INDONESIA"
"1023791104","1023803391","AU","AUS","AUSTRALIA"
"1023803392","1023852543","MY","MYS","MALAYSIA"
"1023852544","1023868927","AU","AUS","AUSTRALIA"
"1023868928","1023901695","JP","JPN","JAPAN"
"1023901696","1023967231","AU","AUS","AUSTRALIA"
"1023967232","1023975423","IN","IND","INDIA"
"1023975424","1023983615","AU","AUS","AUSTRALIA"
"1023983616","1023999999","SG","SGP","SINGAPORE"
"1024000000","1024032767","PH","PHL","PHILIPPINES"
"1024032768","1024065535","AU","AUS","AUSTRALIA"
"1024065536","1024131071","HK","HKG","HONG KONG"
"1024131072","1024163839","IN","IND","INDIA"
"1024163840","1024176127","JP","JPN","JAPAN"
"1024176128","1024188415","AU","AUS","AUSTRALIA"
"1024188416","1024188543","MU","MUS","MAURITIUS"
"1024188544","1024188607","TH","THA","THAILAND"
"1024188608","1024188623","ZA","ZAF","SOUTH AFRICA"
"1024188624","1024188639","CM","CMR","CAMEROON"
"1024188640","1024189183","TH","THA","THAILAND"
"1024189184","1024189439","HK","HKG","HONG KONG"
"1024189440","1024190031","TH","THA","THAILAND"
"1024190032","1024190047","BD","BGD","BANGLADESH"
"1024190048","1024190063","TH","THA","THAILAND"
"1024190064","1024190071","NG","NGA","NIGERIA"
"1024190072","1024190079","MY","MYS","MALAYSIA"
"1024190080","1024190223","CM","CMR","CAMEROON"
"1024190224","1024190239","TH","THA","THAILAND"
"1024190240","1024190247","CM","CMR","CAMEROON"
"1024190248","1024190271","TH","THA","THAILAND"
"1024190272","1024190303","CM","CMR","CAMEROON"
"1024190304","1024190319","TH","THA","THAILAND"
"1024190320","1024190327","LK","LKA","SRI LANKA"
"1024190328","1024190463","TH","THA","THAILAND"
"1024190464","1024190719","KH","KHM","CAMBODIA"
"1024190720","1024190975","TH","THA","THAILAND"
"1024190976","1024191231","CM","CMR","CAMEROON"
"1024191232","1024195583","TH","THA","THAILAND"
"1024195584","1024196095","MU","MUS","MAURITIUS"
